date,ewa,ewc
11/02/2009,9.0232,14.707911
12/02/2009,9.083056,14.716713
13/02/2009,9.165357,14.593487
17/02/2009,8.536875,13.66049
18/02/2009,8.581767,13.51966
19/02/2009,8.67155,13.458047
20/02/2009,8.664068,13.255605
23/02/2009,8.372272,12.683483
24/02/2009,8.783778,13.105973
25/02/2009,8.544357,13.105973
26/02/2009,8.521911,13.510859
27/02/2009,8.394719,13.28201
2/03/2009,7.923357,12.296201
3/03/2009,8.065514,12.305003
4/03/2009,8.4022,12.7627
5/03/2009,7.990695,12.340211
6/03/2009,8.058032,12.349012
9/03/2009,7.863502,12.137768
10/03/2009,8.462056,12.841917
11/03/2009,8.521911,13.035558
12/03/2009,8.716441,13.598877
13/03/2009,8.918453,13.625282
16/03/2009,8.955863,13.854131
17/03/2009,9.367369,14.13579
18/03/2009,9.509525,14.558281
19/03/2009,9.681609,14.813534
20/03/2009,9.614272,14.382243
23/03/2009,10.250235,15.36805
24/03/2009,10.018296,15.095193
25/03/2009,10.197862,15.086391
26/03/2009,10.482175,15.412061
27/03/2009,10.175417,15.015976
30/03/2009,9.689091,14.259017
31/03/2009,10.018296,14.487864
1/04/2009,10.19038,14.954363
2/04/2009,10.781452,15.324042
3/04/2009,10.893681,15.614503
6/04/2009,10.714115,15.447267
7/04/2009,10.459729,15.024778
8/04/2009,10.38491,15.17441
9/04/2009,10.788934,15.852154
13/04/2009,10.998428,16.0722
14/04/2009,10.848789,15.913766
15/04/2009,11.028355,16.186624
16/04/2009,11.058283,16.309851
17/04/2009,11.00591,16.40667
20/04/2009,10.272681,15.561692
21/04/2009,10.586922,15.808143
22/04/2009,10.377428,15.808143
23/04/2009,10.77397,16.274643
24/04/2009,10.916127,16.661925
27/04/2009,10.624332,16.239436
28/04/2009,10.467211,16.098606
29/04/2009,10.923609,16.556302
30/04/2009,10.990946,16.494689
1/05/2009,11.080729,17.031603
4/05/2009,11.701729,17.814968
5/05/2009,11.5895,17.814968
6/05/2009,11.82144,18.4311
7/05/2009,11.739138,17.955798
8/05/2009,12.25539,18.791976
11/05/2009,11.78403,18.413495
12/05/2009,11.881295,18.448702
13/05/2009,11.282741,17.44529
14/05/2009,11.447343,17.885383
15/05/2009,11.230368,17.612526
18/05/2009,11.70921,18.387089
19/05/2009,11.926186,18.492712
20/05/2009,11.933668,19.056031
21/05/2009,11.716692,18.607136
22/05/2009,11.828922,18.932805
26/05/2009,12.150644,19.531332
27/05/2009,11.731657,19.302484
28/05/2009,11.836403,19.865802
29/05/2009,12.322728,20.332302
1/06/2009,12.838981,20.684376
2/06/2009,13.055957,20.807601
3/06/2009,12.704306,19.848198
4/06/2009,12.644451,20.323499
5/06/2009,12.607042,20.050642
8/06/2009,12.427476,20.04184
9/06/2009,12.734234,20.314697
10/06/2009,12.981138,20.253085
11/06/2009,13.355234,20.569952
12/06/2009,13.205595,20.270689
15/06/2009,12.614524,19.469719
16/06/2009,12.509776,19.28488
17/06/2009,12.33021,18.871193
18/06/2009,12.509776,18.897597
19/06/2009,12.577113,19.161654
22/06/2009,12.05338,18.096628
23/06/2009,12.029366,18.185035
24/06/2009,12.239485,18.600542
25/06/2009,12.509639,19.095613
26/06/2009,12.614699,19.077932
29/06/2009,12.734767,19.316627
30/06/2009,12.607194,18.936483
1/07/2009,12.659725,19.21054
2/07/2009,12.171946,18.795034
6/07/2009,12.096904,18.432571
7/07/2009,11.744202,17.946339
8/07/2009,11.66916,17.566196
9/07/2009,11.819245,17.893296
10/07/2009,11.796732,17.707645
13/07/2009,11.894288,18.149673
14/07/2009,12.314528,18.671267
15/07/2009,12.922374,19.484598
16/07/2009,13.019931,19.652568
17/07/2009,12.967401,19.811698
20/07/2009,13.365127,20.280249
21/07/2009,13.297588,20.191843
22/07/2009,13.275076,20.280249
23/07/2009,13.530222,20.943291
24/07/2009,13.4927,21.058217
27/07/2009,13.672802,21.208507
28/07/2009,13.725334,20.846044
29/07/2009,13.530222,20.4659
30/07/2009,13.96547,21.005174
31/07/2009,14.205607,21.39416
3/08/2009,14.588326,21.959955
4/08/2009,14.580821,21.845027
5/08/2009,14.453248,21.88039
6/08/2009,14.543299,21.367637
7/08/2009,14.610838,21.323435
10/08/2009,14.445744,21.08474
11/08/2009,14.318171,20.501263
12/08/2009,14.655864,20.793001
13/08/2009,15.098617,21.09358
14/08/2009,14.715899,20.881407
17/08/2009,14.348189,20.129959
18/08/2009,14.610838,20.421697
19/08/2009,14.678376,20.62503
20/08/2009,14.633351,20.78416
21/08/2009,14.625847,21.155464
24/08/2009,14.941027,21.173145
25/08/2009,14.956035,21.279231
26/08/2009,14.813454,21.146623
27/08/2009,15.128634,21.385319
28/08/2009,15.286224,21.349956
31/08/2009,15.211181,21.022856
1/09/2009,14.896001,20.483581
2/09/2009,14.858479,20.501263
3/09/2009,15.151147,21.075899
4/09/2009,15.406293,21.438362
8/09/2009,15.849045,21.765463
9/09/2009,15.901575,21.615174
10/09/2009,16.111694,21.924592
11/09/2009,16.081678,22.110245
14/09/2009,15.99913,22.242853
15/09/2009,15.99913,22.782127
16/09/2009,16.749559,23.029662
17/09/2009,16.531935,22.941258
18/09/2009,16.546943,22.897054
21/09/2009,16.374344,22.490389
22/09/2009,16.667011,23.020823
23/09/2009,16.636995,22.720244
24/09/2009,16.351832,22.03952
25/09/2009,16.509422,21.818506
28/09/2009,16.779576,22.145606
29/09/2009,16.854618,22.242853
30/09/2009,16.959679,22.52575
1/10/2009,16.344328,21.588651
2/10/2009,16.089182,21.464884
5/10/2009,16.411867,21.951114
6/10/2009,16.779576,22.419665
7/10/2009,16.982191,22.569954
8/10/2009,17.620055,23.029662
9/10/2009,17.537509,23.082707
12/10/2009,17.590039,23.277198
13/10/2009,17.582534,23.232996
14/10/2009,18.122842,23.692704
15/10/2009,18.250415,23.480531
16/10/2009,18.040296,23.427488
19/10/2009,18.287937,23.683865
20/10/2009,18.092826,23.206474
21/10/2009,18.077817,23.047344
22/10/2009,18.317954,23.224155
23/10/2009,18.122842,22.844011
26/10/2009,17.867696,22.19865
27/10/2009,17.650073,21.845027
28/10/2009,16.854618,21.102421
29/10/2009,17.199816,21.791984
30/10/2009,16.456892,21.08474
2/11/2009,16.719542,21.173145
